ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-01,20670.34544100792,-5578.894796508443,47372.76785173389,20670.34544100792,20670.34544100792,0.0,0.0,0.0,0.0,0.0,0.0,20670.34544100792
2019-02-01,24631.548550578795,-761.8027152484422,50964.53373710112,24631.548550578795,24631.548550578795,0.0,0.0,0.0,0.0,0.0,0.0,24631.548550578795
2019-03-01,28209.409407756655,3523.6758368633095,54355.59022607709,28209.409407756655,28209.409407756655,0.0,0.0,0.0,0.0,0.0,0.0,28209.409407756655
2019-04-01,32170.612508952072,5832.387200507599,58034.517121764125,32170.612508952072,32170.612508952072,0.0,0.0,0.0,0.0,0.0,0.0,32170.612508952072
2019-05-01,36004.03488603837,12029.341125093122,61988.13770134925,36004.03488603837,36004.03488603837,0.0,0.0,0.0,0.0,0.0,0.0,36004.03488603837
2019-06-01,39965.238018443015,14037.5260947365,67095.07347169337,39965.238018443015,39965.238018443015,0.0,0.0,0.0,0.0,0.0,0.0,39965.238018443015
2019-07-01,43798.660401821915,16792.84628292694,70124.58175693698,43798.660401821915,43798.660401821915,0.0,0.0,0.0,0.0,0.0,0.0,43798.660401821915
2019-08-01,47759.86355604302,21784.81431351799,72008.77485756001,47759.86355604302,47759.86355604302,0.0,0.0,0.0,0.0,0.0,0.0,47759.86355604302
2019-09-01,51721.06672077698,26580.48203686406,78256.49138943912,51721.06672077698,51721.06672077698,0.0,0.0,0.0,0.0,0.0,0.0,51721.06672077698
2019-10-01,55554.48915209627,28980.990682703985,80199.5482704954,55554.48915209627,55554.48915209627,0.0,0.0,0.0,0.0,0.0,0.0,55554.48915209627
2019-11-01,59515.69232419416,32632.087254474223,84173.686848134,59515.69232419416,59515.69232419416,0.0,0.0,0.0,0.0,0.0,0.0,59515.69232419416
2019-12-01,63349.11477308392,37732.194493623516,88520.02839379772,63349.11477308392,63349.11477308392,0.0,0.0,0.0,0.0,0.0,0.0,63349.11477308392
2020-01-01,67310.31798086883,40115.95853584524,93100.7023749994,67310.31798086883,67310.31798086883,0.0,0.0,0.0,0.0,0.0,0.0,67310.31798086883
2020-02-01,71271.52135691243,47459.796047296346,97399.73105313048,71271.52135691243,71271.52135691243,0.0,0.0,0.0,0.0,0.0,0.0,71271.52135691243
2020-03-01,74977.16322341938,47505.836745973604,99810.44215306558,74977.16322341938,74977.16322341938,0.0,0.0,0.0,0.0,0.0,0.0,74977.16322341938
2020-04-01,78938.36662800968,54141.034504861025,103876.57523834553,78938.36662800968,78938.36662800968,0.0,0.0,0.0,0.0,0.0,0.0,78938.36662800968
2020-05-01,82771.79276160573,56064.08172143536,110544.35310598247,82771.79276160573,82771.79276160573,0.0,0.0,0.0,0.0,0.0,0.0,82771.79276160573
2020-06-01,86732.99979020299,60273.06634996801,112752.08923312362,86732.99979020299,86732.99979020299,0.0,0.0,0.0,0.0,0.0,0.0,86732.99979020299
2020-07-01,90566.4305893514,65881.91157493301,116596.16778137955,90566.4305893514,90566.4305893514,0.0,0.0,0.0,0.0,0.0,0.0,90566.4305893514
2020-08-01,94527.64241733275,69072.95718856782,122687.51593164733,94527.64241733275,94527.64241733275,0.0,0.0,0.0,0.0,0.0,0.0,94527.64241733275
2020-09-01,98488.85424531411,75885.01803809954,124611.88518351654,98488.85424531411,98488.85424531411,0.0,0.0,0.0,0.0,0.0,0.0,98488.85424531411
2020-10-01,102322.2850465864,76427.14981159371,128650.25481652307,102322.2850465864,102322.2850465864,0.0,0.0,0.0,0.0,0.0,0.0,102322.2850465864
2020-11-01,106283.49687456778,80717.0241044798,130666.36633967546,106283.49687456778,106283.49687456778,0.0,0.0,0.0,0.0,0.0,0.0,106283.49687456778
2020-12-01,110116.92767584007,85500.28588636011,137376.06679465613,110116.92767584007,110116.92767584007,0.0,0.0,0.0,0.0,0.0,0.0,110116.92767584007
2020-12-31,113950.35847711236,89509.0408343223,141114.25441769525,113950.35815435582,113950.35886245326,0.0,0.0,0.0,0.0,0.0,0.0,113950.35847711236
2021-01-31,117911.5703050937,91512.67693028094,142969.549295466,117911.56924683685,117911.57153406976,0.0,0.0,0.0,0.0,0.0,0.0,117911.5703050937
2021-02-28,121489.43905294787,94217.31651572089,148718.0696905558,121489.43701471254,121489.44132778967,0.0,0.0,0.0,0.0,0.0,0.0,121489.43905294787
2021-03-31,125450.6508809292,100021.47988857591,151314.59276944117,125450.64765320819,125450.65449334156,0.0,0.0,0.0,0.0,0.0,0.0,125450.6508809292
2021-04-30,129284.0816822015,100171.57373276044,155313.88017346483,129284.07686119637,129284.08685292219,0.0,0.0,0.0,0.0,0.0,0.0,129284.0816822015
2021-05-31,133245.29351018288,107762.9821039072,157855.782554577,133245.28675627147,133245.30034883026,0.0,0.0,0.0,0.0,0.0,0.0,133245.29351018288
